LocationID,Zone,Borough,service_zone,is_airport_zone,cluster_status,cluster_id,cluster_name,typology_version
159,Melrose South,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
160,Middle Village,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
161,Midtown Center,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special
162,Midtown East,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special
163,Midtown North,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special
164,Midtown South,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special
165,Midwood,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
166,Morningside Heights,Manhattan,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
167,Morrisania/Melrose,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
168,Mott Haven/Port Morris,Bronx,Boro Zone,False,clustered,6,Industrial / logistics zone,0426_kmeans6_airport_special
169,Mount Hope,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
170,Murray Hill,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
171,Murray Hill-Queens,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
172,New Dorp/Midland Beach,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
173,North Corona,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
174,Norwood,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
175,Oakland Gardens,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
176,Oakwood,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
177,Ocean Hill,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
178,Ocean Parkway South,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
179,Old Astoria,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
180,Ozone Park,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
181,Park Slope,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
182,Parkchester,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
183,Pelham Bay,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
184,Pelham Bay Park,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
185,Pelham Parkway,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
186,Penn Station/Madison Sq West,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special
187,Port Richmond,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
188,Prospect-Lefferts Gardens,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
189,Prospect Heights,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
190,Prospect Park,Brooklyn,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
191,Queens Village,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
