LocationID,Zone,Borough,service_zone,is_airport_zone,cluster_status,cluster_id,cluster_name,typology_version,pickup_raw_longrun_tip_rate,pickup_residualized_tip_rate,pickup_tree_leaf_id,dropoff_raw_longrun_tip_rate,dropoff_residualized_tip_rate,dropoff_tree_leaf_id
110,Great Kills Park,Staten Island,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special,,,5,0.0,0.2061636979681976,5
111,Green-Wood Cemetery,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.14850025756545,0.0305799236573224,1,0.2036174261341773,0.0079360324033801,4
112,Greenpoint,Brooklyn,Boro Zone,False,clustered,6,Industrial / logistics zone,0426_kmeans6_airport_special,0.1836477850666668,0.0133009068635728,1,0.2249788494518745,0.0084309951538141,4
113,Greenwich Village North,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special,0.2619770900007772,0.0033616810938993,1,0.2669071074885107,0.0066733220734465,3
114,Greenwich Village South,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.2514778654427757,0.0012287223965284,1,0.2560937220665608,0.0001795247432343,3
115,Grymes Hill/Clifton,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0942651244702761,-0.0369486839315443,1,0.1626560527823703,-0.0273395102929723,4
116,Hamilton Heights,Manhattan,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.1481372660626536,-0.0129295768439669,1,0.1956237045323555,-0.0012142794784547,3
117,Hammels/Arverne,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0019658450820438,0.0387016402466253,5,0.0542100646797449,0.0377021544528048,5
118,Heartland Village/Todt Hill,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.1170973408454225,-0.043590542765913,4,0.1833123420238643,-0.0038813176336731,4
119,Highbridge,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0274082317891778,-0.006940761906855,1,0.1018516121325227,-0.0119827489463527,1
120,Highbridge Park,Manhattan,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special,0.1319319181975642,0.0197074232606009,2,0.1610516907940613,-0.002430986753316,2
121,Hillcrest/Pomonok,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0265538272292624,-0.0120859572704785,3,0.1229764972760647,-0.0118446776448002,4
122,Hollis,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.00949353300702,0.0084339244912599,4,0.091297031709616,-0.0162928946158948,5
